ICB Sub location,GP_ODS_CODE
06K,E82021
06N,E82022
06K,E82023
06K,E82024
06N,E82027
06N,E82031
06N,E82032
06K,E82035
06N,E82037
06K,E82038
06K,E82040
06K,E82041
06K,E82042
06N,E82043
06K,E82044
06N,E82045
06N,E82046
06N,E82050
06N,E82051
06K,E82053
06N,E82055
06K,E82056
06K,E82058
06N,E82059
06N,E82060
06K,E82061
06K,E82062
06K,E82063
06N,E82066
06K,E82067
06N,E82068
06N,E82069
06N,E82070
06N,E82071
06N,E82073
06K,E82074
06K,E82075
06N,E82077
06N,E82078
06K,E82079
06K,E82081
06K,E82082
06N,E82083
06N,E82084
06N,E82085
06K,E82086
06K,E82088
06K,E82090
06N,E82091
06K,E82092
06K,E82093
06N,E82094
06N,E82096
06N,E82098
06K,E82099
06K,E82100
06K,E82102
06N,E82105
06N,E82106
06N,E82107
06K,E82111
06N,E82113
06K,E82115
06N,E82117
06K,E82121
06K,E82123
06N,E82124
06N,E82129
06H,E82132
06K,E82133
06K,E82626
06K,E82638
06N,E82643
06N,E82652
06K,E82654
06N,E82655
06N,E82657
06K,E82661
93C,E83003
93C,E83005
93C,E83006
93C,E83007
93C,E83008
93C,E83009
93C,E83010
93C,E83011
93C,E83012
93C,E83013
93C,E83016
93C,E83017
93C,E83018
93C,E83020
93C,E83021
93C,E83024
93C,E83025
93C,E83026
93C,E83027
93C,E83028
93C,E83030
93C,E83031
93C,E83032
93C,E83034
93C,E83035
93C,E83038
93C,E83039
93C,E83041
93C,E83044
93C,E83045
93C,E83046
93C,E83049
93C,E83050
93C,E83053
93C,E83600
93C,E83613
93C,E83621
93C,E83622
93C,E83637
93C,E83638
93C,E83639
93C,E83649
93C,E83653
93C,E83668
W2U3Z,E84002
W2U3Z,E84003
W2U3Z,E84004
W2U3Z,E84005
W2U3Z,E84006
W2U3Z,E84007
W2U3Z,E84008
W2U3Z,E84009
W2U3Z,E84011
W2U3Z,E84012
W2U3Z,E84013
W2U3Z,E84014
W2U3Z,E84015
W2U3Z,E84017
W2U3Z,E84018
W2U3Z,E84020
W2U3Z,E84021
W2U3Z,E84022
W2U3Z,E84024
W2U3Z,E84025
W2U3Z,E84028
W2U3Z,E84030
W2U3Z,E84031
W2U3Z,E84032
W2U3Z,E84033
W2U3Z,E84036
W2U3Z,E84039
W2U3Z,E84040
W2U3Z,E84042
W2U3Z,E84044
W2U3Z,E84048
W2U3Z,E84049
W2U3Z,E84051
W2U3Z,E84053
W2U3Z,E84057
W2U3Z,E84058
W2U3Z,E84059
W2U3Z,E84061
W2U3Z,E84062
W2U3Z,E84063
W2U3Z,E84066
W2U3Z,E84067
W2U3Z,E84068
W2U3Z,E84069
W2U3Z,E84070
W2U3Z,E84074
W2U3Z,E84075
W2U3Z,E84076
W2U3Z,E84078
W2U3Z,E84080
W2U3Z,E84083
W2U3Z,E84086
W2U3Z,E84601
W2U3Z,E84617
W2U3Z,E84620
W2U3Z,E84626
W2U3Z,E84635
W2U3Z,E84637
W2U3Z,E84638
W2U3Z,E84645
W2U3Z,E84646
W2U3Z,E84647
W2U3Z,E84653
W2U3Z,E84656
W2U3Z,E84658
W2U3Z,E84663
W2U3Z,E84665
W2U3Z,E84674
W2U3Z,E84676
W2U3Z,E84678
W2U3Z,E84680
W2U3Z,E84684
W2U3Z,E84685
W2U3Z,E84693
W2U3Z,E84699
W2U3Z,E84701
W2U3Z,E84702
W2U3Z,E84704
W2U3Z,E84709
W2U3Z,E85001
W2U3Z,E85003
W2U3Z,E85004
W2U3Z,E85005
W2U3Z,E85006
W2U3Z,E85007
